"","subject","activity","tBodyAcc_mean___X","tBodyAcc_mean___Y","tBodyAcc_mean___Z","tBodyAcc_std___X","tBodyAcc_std___Y","tBodyAcc_std___Z","tGravityAcc_mean___X","tGravityAcc_mean___Y","tGravityAcc_mean___Z","tGravityAcc_std___X","tGravityAcc_std___Y","tGravityAcc_std___Z","tBodyAccJerk_mean___X","tBodyAccJerk_mean___Y","tBodyAccJerk_mean___Z","tBodyAccJerk_std___X","tBodyAccJerk_std___Y","tBodyAccJerk_std___Z","tBodyGyro_mean___X","tBodyGyro_mean___Y","tBodyGyro_mean___Z","tBodyGyro_std___X","tBodyGyro_std___Y","tBodyGyro_std___Z","tBodyGyroJerk_mean___X","tBodyGyroJerk_mean___Y","tBodyGyroJerk_mean___Z","tBodyGyroJerk_std___X","tBodyGyroJerk_std___Y","tBodyGyroJerk_std___Z","tBodyAccMag_mean__","tBodyAccMag_std__","tGravityAccMag_mean__","tGravityAccMag_std__","tBodyAccJerkMag_mean__","tBodyAccJerkMag_std__","tBodyGyroMag_mean__","tBodyGyroMag_std__","tBodyGyroJerkMag_mean__","tBodyGyroJerkMag_std__","fBodyAcc_mean___X","fBodyAcc_mean___Y","fBodyAcc_mean___Z","fBodyAcc_std___X","fBodyAcc_std___Y","fBodyAcc_std___Z","fBodyAccJerk_mean___X","fBodyAccJerk_mean___Y","fBodyAccJerk_mean___Z","fBodyAccJerk_std___X","fBodyAccJerk_std___Y","fBodyAccJerk_std___Z","fBodyGyro_mean___X","fBodyGyro_mean___Y","fBodyGyro_mean___Z","fBodyGyro_std___X","fBodyGyro_std___Y","fBodyGyro_std___Z","fBodyAccMag_mean__","fBodyAccMag_std__","fBodyBodyAccJerkMag_mean__","fBodyBodyAccJerkMag_std__","fBodyBodyGyroMag_mean__","fBodyBodyGyroMag_std__","fBodyBodyGyroJerkMag_mean__","fBodyBodyGyroJerkMag_std__"
"1","2","5",1520.55555555556,1315.35185185185,1375.11111111111,2109.07407407407,1642.5,2062.25925925926,1125.12962962963,1403.98148148148,1636.5,2086.85185185185,1755.81481481481,1707.27777777778,1962.7962962963,1548.75925925926,1434.31481481481,2030.25925925926,1843.53703703704,2191.61111111111,1210.72222222222,1437.96296296296,1754.88888888889,2170.83333333333,2238.40740740741,2047.46296296296,1261.66666666667,1276.24074074074,1489.64814814815,2157.96296296296,2250.62962962963,2046.12962962963,1898.87037037037,1923.25925925926,1898.87037037037,1923.25925925926,2074.03703703704,1917.55555555556,2112.96296296296,2213.2962962963,2241.42592592593,2230.83333333333,2086.81481481481,1673.57407407407,2098.25925925926,2119.37037037037,1739.40740740741,2056.94444444444,2074.44444444444,1891.16666666667,2173.25925925926,2060.33333333333,1857,2201.98148148148,2092.53703703704,2240.2962962963,2012.64814814815,2172.92592592593,2228.72222222222,2096.81481481481,1870.92592592593,2106.72222222222,1923.81481481481,1929.64814814815,2231.96296296296,2256.46296296296,2235.81481481481,2229.59259259259
"2","2","4",1391.28260869565,1079.84782608696,1371.60869565217,2191.17391304348,1711.02173913043,2144.47826086957,1926.86956521739,550.260869565217,1800.78260869565,2192.13043478261,1894.13043478261,1907.39130434783,2124.13043478261,1783.10869565217,1401.13043478261,2121.4347826087,1914.26086956522,2364.9347826087,871.869565217391,1712.32608695652,1451.26086956522,2420.36956521739,2237.71739130435,1968.5,1503.4347826087,1421.39130434783,1631.91304347826,2378.54347826087,2373.91304347826,2027.10869565217,2009.86956521739,1944.32608695652,2009.86956521739,1944.32608695652,2216.36956521739,1998.54347826087,2117.21739130435,2218.47826086957,2380.76086956522,2332.04347826087,2174.23913043478,1736.32608695652,2235.15217391304,2189.5,1815.86956521739,2124.60869565217,2166.19565217391,1948.0652173913,2341.34782608696,2152.19565217391,1938.58695652174,2376.95652173913,2312.52173913043,2279.08695652174,1931.63043478261,2438.73913043478,2216.39130434783,2020.47826086957,1917.28260869565,2119.60869565217,2001.47826086957,2007.04347826087,2256.73913043478,2249.08695652174,2339.78260869565,2325.69565217391
"3","2","6",1676.83333333333,940.604166666667,998.416666666667,1849.4375,2072.83333333333,2523.3125,381.5625,2616.125,2440.97916666667,1493.35416666667,2365.14583333333,2358.54166666667,2107.04166666667,1825.8125,1568.6875,2050.60416666667,2197.375,2417.0625,1264.08333333333,1284.4375,1885.5625,2544.25,2386.39583333333,2090.4375,1545.85416666667,1152.79166666667,1396.9375,2599.95833333333,2394.04166666667,2259.625,2126.66666666667,2170.5,2126.66666666667,2170.5,2325.27083333333,2148.04166666667,2188.16666666667,2358.35416666667,2488.35416666667,2478.60416666667,1897.29166666667,2118.3125,2510.25,1828.95833333333,2165.45833333333,2534.08333333333,2091.5,2251.04166666667,2405.27083333333,2085.45833333333,2191.77083333333,2418.89583333333,2486.79166666667,2403.41666666667,2108,2536,2376.4375,2121.27083333333,2152.41666666667,2342.08333333333,2161.16666666667,2129.29166666667,2404.4375,2387.25,2491,2460.4375
"4","2","1",1442.30508474576,1583.45762711864,1570.47457627119,881.033898305085,915.864406779661,874.101694915254,1284.72881355932,1377.08474576271,1515.42372881356,1163.27118644068,1509.64406779661,1705.06779661017,800.627118644068,1318.45762711864,1458.84745762712,457.457627118644,1491.45762711864,803.135593220339,1640.59322033898,1423.86440677966,1464.47457627119,931.661016949153,855.169491525424,914.796610169491,1389.71186440678,1454.5593220339,1514.32203389831,448.627118644068,729.237288135593,505.610169491525,641.932203389831,810.677966101695,641.932203389831,810.677966101695,498.661016949153,535,893.220338983051,977.593220338983,695.830508474576,603.28813559322,603.694915254237,1282.69491525424,849.881355932203,934.050847457627,544.322033898305,929.033898305085,462.830508474576,1023.96610169492,798.406779661017,495.016949152542,1555.52542372881,787.627118644068,737.661016949153,816.203389830509,693.067796610169,944.813559322034,832.152542372881,984.745762711864,525.559322033898,1096.79661016949,613.050847457627,646.101694915254,843.372881355932,1150.8813559322,663.796610169491,557.28813559322
"5","2","3",1555,1745.68085106383,1751.17021276596,2061.29787234043,2536.02127659574,1146.34042553191,894.893617021277,1276.82978723404,1236.72340425532,549.31914893617,772.127659574468,846.914893617021,973.063829787234,1174.89361702128,1506.44680851064,2311.53191489362,2158.02127659574,235.936170212766,1725.8085106383,1796.31914893617,976.276595744681,473.808510638298,501.851063829787,444.510638297872,1591.10638297872,1412.29787234043,1485.34042553191,792.744680851064,434.297872340426,607.446808510638,2237.78723404255,2745.48936170213,2237.78723404255,2745.48936170213,1850.21276595745,2617.8085106383,891.234042553191,586.021276595745,388.468085106383,686.63829787234,2321.51063829787,2629.85106382979,1062.48936170213,1592.8085106383,2416.23404255319,1090,2501.14893617021,2014.21276595745,365.595744680851,1993.3829787234,1881.63829787234,281.829787234043,929.659574468085,454.382978723404,1183.1914893617,471.510638297872,611.829787234043,605.276595744681,2816.42553191489,1696.93617021277,2575.40425531915,2617.1914893617,560.340425531915,575.574468085106,481.021276595745,654.212765957447
"6","2","2",1109.52083333333,1842.375,1824.66666666667,525.395833333333,2579.4375,1155.35416666667,709.083333333333,1506.14583333333,1285.27083333333,538.8125,763.625,729.354166666667,949.9375,1227.70833333333,1785.79166666667,452.875,810.5625,773.333333333333,1936.25,1610.83333333333,988.166666666667,591.354166666667,617.291666666667,1300.14583333333,1639.20833333333,1603.20833333333,1566.75,612.604166666667,762.645833333333,547.229166666667,476.3125,296.5,476.3125,296.5,546.916666666667,557.395833333333,513.458333333333,528.083333333333,747.583333333333,679.145833333333,453.208333333333,1421.91666666667,664.145833333333,576.479166666667,2539.9375,1171.22916666667,529.958333333333,837.833333333333,710.0625,598.604166666667,677.020833333333,828.520833333333,552.083333333333,644.645833333333,640.125,597.6875,614.75,1034.70833333333,515.4375,496.729166666667,642.0625,458.854166666667,593.145833333333,620.708333333333,697.229166666667,668.770833333333
"7","4","5",1576.67857142857,1753.44642857143,1675.125,1872.94642857143,1186.98214285714,1627.89285714286,2226.64285714286,1589.16071428571,1477.76785714286,1887.16071428571,1204.69642857143,1257.25,1966.94642857143,1565.83928571429,1347.53571428571,1764.71428571429,1438.91071428571,1899.30357142857,1450.10714285714,1465.375,1597.69642857143,1641.39285714286,1822.01785714286,1602.67857142857,1174.75,1301.01785714286,1491.35714285714,1711.39285714286,1963.91071428571,1695.51785714286,1422.10714285714,1479.60714285714,1422.10714285714,1479.60714285714,1698.66071428571,1585.94642857143,1580.53571428571,1721.80357142857,1799.57142857143,1861.71428571429,1836.05357142857,1268.51785714286,1749.25,1882.125,1304.46428571429,1606.91071428571,1810.94642857143,1492.30357142857,1876.73214285714,1797.48214285714,1446.42857142857,1921.91071428571,1599.44642857143,1870.91071428571,1609.125,1633.39285714286,1793.94642857143,1641.05357142857,1466.69642857143,1637.28571428571,1589.39285714286,1599.875,1782.35714285714,1748.25,1854.125,1887.89285714286
"8","4","4",1475.06,1377.72,1409.8,1856.72,1475.76,1793.56,1652.36,1998.34,1883.06,2008.28,1509.78,1626.46,1953.84,1507.88,1461.66,1813.52,1598.34,2091.1,916.64,1389.2,1474.14,2126.42,1934.32,1749.92,1563.98,1336.88,1569.2,1965.1,2139.46,1897.22,1645.96,1640.86,1645.96,1640.86,1874.22,1724.2,1816.76,1932.94,2064.48,2076.54,1858.92,1467.96,1904.78,1855.06,1578.34,1782.04,1866.2,1656.52,2059.92,1832.54,1592.9,2125.7,2005.76,2015.42,1754.62,2150.14,1899.8,1785.36,1613.1,1819.06,1747.56,1711.54,1988.28,1957.86,2084.98,2073.2
"9","4","6",1608.53703703704,932.62962962963,885.314814814815,1756.37037037037,1833.12962962963,2187.46296296296,313.555555555556,2816.27777777778,1892.09259259259,1721.14814814815,2252.62962962963,2238.46296296296,1992.90740740741,1757.18518518519,1424.88888888889,2065.74074074074,1783.25925925926,2282.05555555556,1452.87037037037,1422.62962962963,1855,2210.37037037037,1847.98148148148,2218.2037037037,1439.35185185185,1302.72222222222,1303.57407407407,2257.37037037037,2351.11111111111,2394.72222222222,2014.42592592593,2017.66666666667,2014.42592592593,2017.66666666667,2106.59259259259,1965.40740740741,1897.05555555556,2110.37037037037,2394.2037037037,2377.55555555556,1904.88888888889,1814.03703703704,2269.22222222222,1699.33333333333,1968.22222222222,2172.5,2112.22222222222,1855.7962962963,2282,2086.53703703704,1763.98148148148,2265.14814814815,2177.51851851852,2081.42592592593,2208.81481481481,2198.46296296296,1780.01851851852,2253.24074074074,1990.09259259259,2199.42592592593,1987.16666666667,1935.83333333333,2209.75925925926,2118.05555555556,2390.31481481481,2366.7037037037
"10","4","1",1464.48333333333,1696.58333333333,1827.2,926.833333333333,1008.35,1183.96666666667,2476.11666666667,876.766666666667,1218.85,1602.68333333333,1439.38333333333,1495.48333333333,1020.63333333333,1182.3,1495.08333333333,455.983333333333,416.016666666667,1246.93333333333,1870.11666666667,955.783333333333,1902.8,812.016666666667,1203.38333333333,1202.45,1460.3,1609.06666666667,1282.93333333333,692.55,1195.26666666667,1056.83333333333,702.416666666667,1012.53333333333,702.416666666667,1012.53333333333,674.116666666667,460.45,1064.15,1074.71666666667,1136.13333333333,1087.86666666667,857.683333333333,540.433333333333,1233.3,914.5,913.35,1184.16666666667,565.933333333333,464.85,1243.85,435,495.65,1229.25,635.233333333333,1191.75,1135.28333333333,823.233333333333,1181.58333333333,1257.03333333333,833.783333333333,1224.75,478.616666666667,435.533333333333,1152.06666666667,1077.05,1097.53333333333,1073.05
